,vacancy_name,source,vacancy_link,salary_min,salary_max,salary_currency
0,Java developer (Team Lead),https://hh.ru,https://hh.ru/vacancy/66547266?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20science,,,
1,Spanish Speaking Sales Development Representative,https://hh.ru,https://hh.ru/vacancy/66190246?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20science,,,
2,QA Automation Engineer,https://hh.ru,https://hh.ru/vacancy/66120160?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20science,,,
3,Product manager,https://hh.ru,https://hh.ru/vacancy/66190107?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20science,,,
4,Ведущий инженер по информационной безопасности,https://hh.ru,https://hh.ru/vacancy/55894476?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20science,,,
5,PPC специалист,https://hh.ru,https://hh.ru/vacancy/55885988?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20science,,,
6,Middle Database Developer,https://hh.ru,https://hh.ru/vacancy/55499761?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20science,,,
7,Salesforce Developer,https://hh.ru,https://hh.ru/vacancy/51217890?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20science,,,
8,Senior Mobile Application Developer,https://hh.ru,https://hh.ru/vacancy/55384924?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20science,,,
9,SAP ABAP Developer,https://hh.ru,https://hh.ru/vacancy/55269840?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20science,,,
10,Senior ServiceNow Сonsultant/Developer,https://hh.ru,https://hh.ru/vacancy/54378168?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20science,,,
11,Middle PHP Developer,https://hh.ru,https://hh.ru/vacancy/55273887?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20science,,,
